a,b,c,d,e,f,g,h
Mar-15,Current,36 months,,B1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=42323818,NY
Oct-15,Current,36 months,B,B5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60743538,CO
May-15,Current,36 months,C,,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=48734228,CA
Jan-15,Current,36 months,,C3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=38638088,TX
Apr-15,Current,60 months,D,D1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=44503270,NY
,Current,36 months,A,A1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46742997,IL
May-15,Current,60 months,C,C4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=50233654,CA
Feb-15,Current,36 months,B,B5,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=40472398,WY
Jul-15,Current,36 months,D,D2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=54313153,
Sep-15,Current,36 months,E,E3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=58652489,CA
Sep-15,Current,60 months,E,E2,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59975273,CA
Jun-15,Current,60 months,D,D2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=52077582,CT
Aug-15,Current,36 months,C,C1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55918900,NJ
Oct-15,Current,60 months,E,E1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63446978,CT
Jul-15,Current,36 months,B,B3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55121403,
Aug-15,Current,36 months,D,D2,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=58181270,IL
Aug-15,Current,60 months,C,C5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55513892,IL
Nov-15,Current,36 months,A,A1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65616877,OK
Jul-15,Current,36 months,A,A3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=53674271,FL
Jun-15,Current,36 months,B,B5,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=50044149,
Dec-15,Current,36 months,A,A3,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67858798,MO
Nov-15,Current,60 months,E,E1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65432489,NC
Feb-15,Current,60 months,C,C1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=40390116,MI
Mar-15,Current,36 months,A,A3,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=42274117,OH
Nov-15,Current,60 months,,C4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65592839,IL
Dec-15,Current,36 months,C,C2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65624615,CA
Aug-15,Current,36 months,C,C3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59200059,GA
Sep-15,Current,60 months,F,F1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59925260,GA
Dec-15,Issued,36 months,D,,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68445161,FL
Jan-15,Current,36 months,C,C3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=38578931,LA
Jul-15,Current,36 months,C,C4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=54373942,NY
Nov-15,Current,60 months,B,B4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=64301130,NC
Sep-15,Current,36 months,E,E1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59709456,HI
Jul-15,Current,60 months,E,E4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=54968464,TN
Oct-15,Current,,E,E3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61542908,FL
Oct-15,Current,60 months,B,B2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63468421,TX
Apr-15,Current,60 months,F,F5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43840666,MO
Dec-15,Current,36 months,A,A5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67315929,FL
Mar-15,Current,60 months,C,C3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=42474718,IL
Feb-15,Current,36 months,B,B1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=41070065,
May-15,Current,60 months,D,D1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46486949,TX
Jul-15,Current,36 months,D,D3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55574908,CA
Nov-15,Current,36 months,C,C2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65334562,TN
Apr-15,Current,60 months,B,B4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=45464185,NY
May-15,Current,60 months,E,E5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=49834028,AZ
Dec-15,Issued,,A,A2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68466926,PA
Jul-15,Current,36 months,C,C1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55471229,TX
Oct-15,,60 months,C,C5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63458727,NY
Jul-15,Current,36 months,E,E3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=53634489,KS
,Current,36 months,C,C2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61762703,NC
Dec-15,Current,,C,C1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=66054568,OH
Jul-15,Fully Paid,36 months,C,C3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56562647,TN
Apr-15,Current,36 months,A,A4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46305821,RI
Nov-15,Current,36 months,B,B4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=64038324,CA
Apr-15,Current,36 months,B,B1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=45814285,FL
Jul-15,Current,60 months,B,B3,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=53061481,CO
Dec-15,Current,36 months,C,,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65642248,PA
Mar-15,Current,36 months,B,B4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43145751,WI
Jan-15,Late (31-120 days),36 months,C,C1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=38658314,OR
Oct-15,Current,60 months,E,E1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=62206001,DE
Aug-15,Current,60 months,C,,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57234290,PA
Apr-15,Current,36 months,B,B4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46823927,DC
Nov-15,Current,36 months,A,A4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63249087,CA
Oct-15,Current,36 months,A,,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61362140,NY
Feb-15,Current,60 months,C,C1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=39450516,CA
Aug-15,Current,36 months,D,D2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56118129,SC
Jun-15,Current,36 months,B,B3,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=50607190,NV
Jan-15,Current,36 months,C,C4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=38587850,NJ
Aug-15,Fully Paid,36 months,D,D1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=58040320,MN
Jul-15,Current,60 months,D,D1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=52868374,
Apr-15,Fully Paid,36 months,B,B4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46084262,FL
Jan-15,Current,36 months,B,B1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=40500329,IL
Sep-15,,36 months,C,C1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60575726,FL
Oct-15,Current,60 months,D,D5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61732652,KS
May-15,Fully Paid,36 months,B,B2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=48625977,MI
Apr-15,Charged Off,36 months,D,D5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43893580,TX
Feb-15,Current,36 months,B,,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=41430406,TX
Apr-15,Current,60 months,C,C4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46366495,CO
Aug-15,Current,36 months,A,A1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57990627,NY
May-15,,36 months,D,D3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=47179182,OH
Sep-15,Current,36 months,B,B1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60175738,FL
Mar-15,Current,60 months,C,C1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=41070345,KY
Jun-15,Fully Paid,,A,A4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=49077694,CA
Apr-15,Fully Paid,36 months,C,C2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46507116,GA
Jul-15,Current,60 months,,E4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=54239012,MI
Jul-15,Current,60 months,B,B3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=53171175,OH
Mar-15,Current,36 months,A,A5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=41032907,IL
Jun-15,Current,36 months,C,C1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=50485709,MO
Nov-15,Current,36 months,B,,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63419265,PA
Sep-15,Current,36 months,C,C5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59281250,MI
Jul-15,Current,36 months,D,D1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=54513477,
May-15,Current,,D,D2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=47737378,AZ
Apr-15,Current,36 months,A,A1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46632954,NY
Jul-15,Current,36 months,B,B3,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=54100569,
Jun-15,Current,36 months,B,B3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=52798510,
Dec-15,Current,,B,B2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=66433793,NC
Apr-15,Current,60 months,D,D3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=44076076,LA
Apr-15,Current,36 months,A,A4,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43947157,CA
Apr-15,Current,36 months,C,C2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43966999,MN
Dec-15,Issued,36 months,D,D1,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68132512,CA
Aug-15,Current,36 months,C,C3,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57774144,NC
Dec-15,Current,36 months,A,A2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=66410337,CA
Nov-15,Current,36 months,E,E2,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=64350672,GA
May-15,Current,36 months,A,A1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46643412,
Jan-15,Late (16-30 days),36 months,C,C1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=38644517,KY
Jun-15,Current,36 months,A,A1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=51948692,NC
Nov-15,Fully Paid,60 months,,F1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65677312,OH
Apr-15,,36 months,C,C4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46295356,KY
Dec-15,Issued,36 months,,B3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68614880,WA
Nov-15,Current,60 months,E,E4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63468454,CA
Dec-15,Current,60 months,E,E4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65611837,CA
Aug-15,Current,60 months,C,C1,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57723116,MI
Sep-15,Current,,C,C1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60195499,TX
May-15,Current,36 months,A,A4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46716467,GA
Aug-15,Current,36 months,E,E3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57674191,TN
Apr-15,,60 months,C,C3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46725341,NY
Jul-15,Current,60 months,D,D2,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56069525,WI
Nov-15,Current,36 months,C,C3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65413223,MN
May-15,Fully Paid,36 months,A,A4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=48080550,OH
Mar-15,Fully Paid,36 months,A,A4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=42324737,NJ
Jul-15,,36 months,B,B5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=54900029,MN
Dec-15,Current,36 months,D,D4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=66645389,NC
Jun-15,Current,60 months,C,C3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=51938184,TX
Dec-15,Current,36 months,C,C2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67615782,FL
Feb-15,Current,,D,D2,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=40412780,HI
Nov-15,Current,36 months,B,B4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65068821,OH
Nov-15,Current,36 months,C,C1,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63430623,TX
Mar-15,Current,60 months,C,,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=42915512,MI
Nov-15,Current,36 months,C,C1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63897940,CA
Apr-15,Current,36 months,,B2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46517733,CA
Oct-15,Current,60 months,D,D5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61912432,UT
Dec-15,Current,36 months,D,D1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65976451,NJ
Mar-15,Current,36 months,D,D3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43349845,TX
Jul-15,Current,60 months,E,E4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55919101,NV
Aug-15,Current,36 months,C,C1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=58532172,MI
Aug-15,Current,60 months,B,B3,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57114727,IL
Apr-15,Current,60 months,C,C4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=44078309,
Mar-15,Current,60 months,D,D4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43739209,NJ
Jul-15,Current,36 months,C,C4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55149721,OK
Jan-15,Current,60 months,C,C1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=14428496,NY
Dec-15,Issued,36 months,B,B3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68576389,FL
Dec-15,Current,36 months,B,B3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=66440711,OK
Jul-15,Current,36 months,E,E2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55432088,PA
Aug-15,,36 months,A,A1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57346797,CA
May-15,Current,36 months,A,A2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=48070836,MA
Oct-15,Current,36 months,B,B1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60784976,
Aug-15,Current,36 months,C,C4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56582444,
Dec-15,Current,36 months,D,D1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67625954,CA
Dec-15,Current,60 months,C,C2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65944693,GA
Nov-15,Current,60 months,E,E3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63557646,FL
Mar-15,,36 months,A,A2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43699392,CA
Dec-15,Current,36 months,C,C4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=66535078,TX
Jul-15,Current,36 months,A,A2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55158296,
Apr-15,Current,36 months,B,B3,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46723486,VA
Sep-15,Current,36 months,D,,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59229615,CA
Aug-15,Current,36 months,B,B1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57306470,TX
,Current,36 months,B,B4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46661002,CA
Nov-15,Current,36 months,B,,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=64079044,TX
Oct-15,Current,36 months,C,C5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61538980,NJ
Jan-15,,36 months,B,B1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=39359312,MD
Oct-15,Current,36 months,,B4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=62013478,WA
Jul-15,Current,60 months,C,C1,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=51881063,NC
Feb-15,Current,36 months,C,C2,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=40431779,PA
Aug-15,Current,36 months,B,B2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57752164,CA
Jul-15,Current,36 months,C,C5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56320523,FL
Jan-15,Current,60 months,D,D2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=38635267,NY
Oct-15,Current,36 months,C,C3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61036730,CA
Aug-15,Current,36 months,D,D1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57154832,
Jul-15,,36 months,C,C5,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56071028,MD
May-15,Current,36 months,A,A4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=49603140,TX
Oct-15,Current,36 months,D,D5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=62287847,NY
Nov-15,In Grace Period,60 months,C,C3,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65404064,CA
May-15,Current,36 months,C,C1,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=48202945,FL
,Current,60 months,D,D4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65344709,MN
Nov-15,Current,36 months,B,B5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65741404,CA
Feb-15,Current,60 months,A,A5,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=41470216,TX
Mar-15,Fully Paid,,A,A5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43275697,CA
Mar-15,Late (31-120 days),36 months,D,D5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=42964772,TX
,Current,36 months,C,C2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56350168,MA
Oct-15,Current,60 months,F,F1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63340580,CA
Jan-15,Current,60 months,E,E3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=38414180,NH
Oct-15,Current,36 months,C,C4,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63274288,CO
Sep-15,Current,36 months,B,B2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57674634,NY
Sep-15,Current,60 months,D,D2,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60025537,MD
Aug-15,Current,36 months,C,C3,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57167455,IL
Oct-15,Current,60 months,C,C3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=62589584,CA
Jun-15,Current,,B,B2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=51848796,NJ
May-15,Current,36 months,B,B1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46755639,AZ
Aug-15,Current,36 months,A,A1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59071178,TX
Nov-15,Current,36 months,B,B4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63889509,MN
Apr-15,Current,60 months,D,D1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46671463,PA
Jun-15,Current,60 months,B,B5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=51928963,TX
Oct-15,Current,36 months,C,C4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63485450,NY
May-15,Current,,C,C5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=48726375,WY
Jul-15,Current,36 months,C,C5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55100755,NH
May-15,Current,36 months,A,A3,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=49924306,
Sep-15,Current,60 months,G,G1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59132709,CA
May-15,Current,36 months,B,B3,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=49973152,CA
Nov-15,Current,36 months,B,B3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=62449802,AR
Jul-15,Current,36 months,A,A3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=53984510,NY
Aug-15,Current,36 months,C,C3,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=58400580,TX
Apr-15,Current,36 months,D,D1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43004401,CA
May-15,Default,60 months,F,,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=49994591,WI
Aug-15,Current,60 months,,A4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59013213,IN
Apr-15,Current,36 months,B,B1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46497029,GA
Jan-15,Fully Paid,36 months,B,B5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=39682461,GA
Jun-15,Current,36 months,C,C4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=49956815,GA
Aug-15,Current,60 months,E,E1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=54485613,IN
Oct-15,,60 months,F,F4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63487095,GA
Aug-15,Current,36 months,A,A2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55254842,NV
Aug-15,Current,60 months,D,D4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57794381,NC
May-15,Current,36 months,C,C2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=50054000,IL
Oct-15,Current,36 months,C,C3,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=62285596,
Nov-15,Current,36 months,C,C5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63527281,MS
Jul-15,Current,,B,B2,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=53995745,IL
May-15,Current,36 months,A,A1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46694009,MO
Jan-15,Current,60 months,B,B2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=39649735,CO
Oct-15,Current,36 months,B,B1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61842563,NH
Aug-15,Current,60 months,D,D1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57734632,NY
Oct-15,Current,36 months,A,A3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60924257,MN
Jun-15,Fully Paid,36 months,A,A5,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=51125809,MI
Jul-15,Current,36 months,D,D5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=53182669,NJ
Jul-15,Current,60 months,C,,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56129522,GA
Apr-15,,36 months,B,B4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46836449,CA
Jan-15,Current,36 months,B,B1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=39560141,MA
Apr-15,Fully Paid,36 months,C,C2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46134649,CA
Dec-15,Current,60 months,E,,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65916571,CA
Apr-15,Current,36 months,D,D3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=44259286,FL
Apr-15,Current,36 months,C,C5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46722114,CA
Apr-15,Current,36 months,B,B5,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46634303,
Dec-15,Issued,,E,E2,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67565376,FL
Mar-15,Current,36 months,C,C2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43801177,FL
Apr-15,Current,36 months,C,C3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46116481,OH
Jul-15,Current,36 months,B,B2,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56020063,CA
Aug-15,Current,60 months,E,E1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56111042,AK
Jul-15,Current,36 months,B,B4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=53744591,NY
Dec-15,Issued,36 months,B,B2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67929182,MN
Nov-15,Current,36 months,B,B4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63888522,GA
Mar-15,Current,36 months,A,A2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=42297060,MI
Aug-15,Current,60 months,C,C5,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=58583261,FL
Jul-15,Current,36 months,D,D3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56039706,WA
May-15,Current,60 months,,E4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=47551227,VA
